case_id,fir_number,case_type,crime_category,crime_subcategory,ipc_section,registration_date,incident_date,incident_time,police_station_id,district,city,state,latitude,longitude,case_status,severity,investigating_officer_id,source,description
C001084,PUNE/FIR/2019/01084,FIR,Assault,Voluntarily causing hurt,IPC 323,2018-02-27,2018-02-24,08:44:00,PS_VIMAN_NAGAR,Pune,Pune,Maharashtra,18.557487,73.919798,Solved,Medium,IO0140,SYNTH_COURT_LINK,Synthetic voluntarily causing hurt case recorded for the Viman Nagar area. Severity classification: Medium.
C001085,PUNE/FIR/2019/01085,FIR,Fraud,Criminal breach of trust,IPC 406,2018-05-10,2018-04-29,18:31:00,PS_BHOSARI,Pune,Pune,Maharashtra,18.620335,73.842865,Registered,Medium,IO0219,SYNTH_CASE_DB,Synthetic criminal breach of trust case recorded for the Bhosari area. Severity classification: Medium.
C001086,PUNE/FIR/2022/01086,Complaint,Burglary,House-breaking / house-trespass,IPC 454,2018-03-16,2018-03-08,15:59:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.54184,73.872642,Closed,High,IO0278,SYNTH_FIELD_REPORT,Synthetic house-breaking / house-trespass case recorded for the Yerawada area. Severity classification: High.
C001087,PUNE/FIR/2023/01087,FIR,Theft,Theft in dwelling house,IPC 380,2020-06-29,2020-06-17,13:42:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.537859,73.874024,Solved,Critical,IO0295,SYNTH_CASE_DB,Synthetic theft in dwelling house case recorded for the Yerawada area. Severity classification: Critical.
C001088,PUNE/FIR/2021/01088,Complaint,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2019-01-19,2019-01-12,10:14:00,PS_AUNDH,Pune,Pune,Maharashtra,18.554253,73.79707,Under Investigation,High,IO0058,SYNTH_LEGACY_DB,Synthetic cheating by personation / cyber fraud case recorded for the Aundh area. Severity classification: High.
C001089,PUNE/FIR/2020/01089,FIR,Theft,Theft of property,IPC 379,2018-10-15,2018-10-07,21:28:00,PS_BHOSARI,Pune,Pune,Maharashtra,18.631351,73.854076,Unsolved,Medium,IO0081,SYNTH_LEGACY_DB,Synthetic theft of property case recorded for the Bhosari area. Severity classification: Medium.
C001090,PUNE/FIR/2022/01090,Complaint,Assault,Voluntarily causing hurt,IPC 323,2019-11-12,2019-11-03,19:17:00,PS_SHIVAJINAGAR,Pune,Pune,Maharashtra,18.534432,73.839862,Chargesheeted,High,IO0202,SYNTH_CASE_DB,Synthetic voluntarily causing hurt case recorded for the Shivajinagar area. Severity classification: High.
C001091,PUNE/FIR/2019/01091,Complaint,Assault,Voluntarily causing hurt,IPC 323,2018-06-19,2018-06-16,09:40:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.494739,73.873549,Under Investigation,Medium,IO0072,SYNTH_CASE_DB,Synthetic voluntarily causing hurt case recorded for the Swargate area. Severity classification: Medium.
C001092,PUNE/FIR/2019/01092,Complaint,Theft,Theft of property,IPC 379,2020-01-15,2020-01-09,14:38:00,PS_BANER,Pune,Pune,Maharashtra,18.559009,73.793195,Chargesheeted,Medium,IO0141,SYNTH_FIR_DB,Synthetic theft of property case recorded for the Baner area. Severity classification: Medium.
C001093,PUNE/FIR/2019/01093,Complaint,Fraud,Cheating,IPC 420,2023-07-26,2023-07-19,09:09:00,PS_KONDHWA,Pune,Pune,Maharashtra,18.474149,73.886413,Pending,High,IO0291,SYNTH_FIELD_REPORT,Synthetic cheating case recorded for the Kondhwa area. Severity classification: High.
C001094,PUNE/FIR/2023/01094,FIR,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2019-02-21,2019-02-07,22:25:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.518494,73.914749,Under Investigation,Critical,IO0021,SYNTH_FIR_DB,Synthetic cheating by personation / cyber fraud case recorded for the Hadapsar area. Severity classification: Critical.
C001095,PUNE/FIR/2018/01095,FIR,Theft,Theft of property,IPC 379,2023-08-30,2023-08-24,12:06:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.502036,73.851627,Under Investigation,High,IO0070,SYNTH_FIR_DB,Synthetic theft of property case recorded for the Swargate area. Severity classification: High.
C001096,PUNE/FIR/2020/01096,Special Report,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2020-08-31,2020-08-27,11:11:00,PS_VISHRANTWADI,Pune,Pune,Maharashtra,18.562634,73.886101,Under Investigation,High,IO0051,SYNTH_FIELD_REPORT,Synthetic cheating by personation / cyber fraud case recorded for the Vishrantwadi area. Severity classification: High.
C001097,PUNE/FIR/2019/01097,Preliminary Inquiry,Robbery,Robbery,IPC 392,2019-06-06,2019-05-23,10:40:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.638447,73.793443,Chargesheeted,High,IO0121,SYNTH_CASE_DB,Synthetic robbery case recorded for the Pimpri area. Severity classification: High.
C001098,PUNE/FIR/2018/01098,Preliminary Inquiry,Fraud,Criminal breach of trust,IPC 406,2022-06-22,2022-06-16,18:53:00,PS_WAKAD,Pune,Pune,Maharashtra,18.593916,73.768617,Closed,Medium,IO0308,SYNTH_FIELD_REPORT,Synthetic criminal breach of trust case recorded for the Wakad area. Severity classification: Medium.
C001099,PUNE/FIR/2021/01099,FIR,Public Order,Unlawful assembly,IPC 141,2021-06-22,2021-06-22,23:10:00,PS_KATRAJ,Pune,Pune,Maharashtra,18.458612,73.856776,Solved,Medium,IO0280,SYNTH_CASE_DB,Synthetic unlawful assembly case recorded for the Katraj area. Severity classification: Medium.
C001100,PUNE/FIR/2024/01100,FIR,Assault,Voluntarily causing hurt,IPC 323,2020-05-24,2020-05-13,16:25:00,PS_BANER,Pune,Pune,Maharashtra,18.563156,73.780199,Closed,Medium,IO0311,SYNTH_FIR_DB,Synthetic voluntarily causing hurt case recorded for the Baner area. Severity classification: Medium.
C001101,PUNE/FIR/2018/01101,FIR,Theft,Theft of property,IPC 379,2018-01-28,2018-01-16,12:31:00,PS_KATRAJ,Pune,Pune,Maharashtra,18.450839,73.855797,Under Investigation,High,IO0244,SYNTH_FIR_DB,Synthetic theft of property case recorded for the Katraj area. Severity classification: High.
C001102,PUNE/FIR/2019/01102,Preliminary Inquiry,Theft,Theft in dwelling house,IPC 380,2021-07-06,2021-06-27,21:16:00,PS_BHOSARI,Pune,Pune,Maharashtra,18.628428,73.8354,Solved,Critical,IO0120,SYNTH_CASE_DB,Synthetic theft in dwelling house case recorded for the Bhosari area. Severity classification: Critical.
C001103,PUNE/FIR/2024/01103,FIR,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2022-10-12,2022-10-02,06:09:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.501596,73.922212,Under Investigation,High,IO0042,SYNTH_CASE_DB,Synthetic cheating by personation / cyber fraud case recorded for the Hadapsar area. Severity classification: High.
C001104,PUNE/FIR/2024/01104,FIR,Theft,Theft of property,IPC 379,2024-02-11,2024-01-29,17:11:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.498538,73.930271,Solved,Medium,IO0030,SYNTH_FIELD_REPORT,Synthetic theft of property case recorded for the Hadapsar area. Severity classification: Medium.
C001105,PUNE/FIR/2022/01105,Special Report,Property,Mischief causing damage,IPC 427,2022-05-05,2022-05-04,19:23:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.538096,73.874711,Solved,Medium,IO0152,SYNTH_FIELD_REPORT,Synthetic mischief causing damage case recorded for the Yerawada area. Severity classification: Medium.
C001106,PUNE/FIR/2019/01106,Complaint,Threat,Criminal intimidation,IPC 506,2019-05-24,2019-05-23,19:19:00,PS_VIMAN_NAGAR,Pune,Pune,Maharashtra,18.5601,73.915154,Closed,Medium,IO0048,SYNTH_COURT_LINK,Synthetic criminal intimidation case recorded for the Viman Nagar area. Severity classification: Medium.
C001107,PUNE/FIR/2021/01107,Complaint,Theft,Theft of property,IPC 379,2023-12-24,2023-12-17,18:27:00,PS_AUNDH,Pune,Pune,Maharashtra,18.565515,73.806468,Solved,Medium,IO0180,SYNTH_CASE_DB,Synthetic theft of property case recorded for the Aundh area. Severity classification: Medium.
C001108,PUNE/FIR/2020/01108,Preliminary Inquiry,Robbery,Robbery,IPC 392,2021-04-12,2021-04-02,13:42:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.499704,73.809495,Solved,High,IO0092,SYNTH_COURT_LINK,Synthetic robbery case recorded for the Kothrud area. Severity classification: High.
C001109,PUNE/FIR/2020/01109,Special Report,Burglary,House-breaking / house-trespass,IPC 454,2024-06-02,2024-05-29,07:04:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.504308,73.937195,Registered,High,IO0135,SYNTH_CASE_DB,Synthetic house-breaking / house-trespass case recorded for the Hadapsar area. Severity classification: High.
C001110,PUNE/FIR/2020/01110,Complaint,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2023-09-11,2023-09-06,06:48:00,PS_BHOSARI,Pune,Pune,Maharashtra,18.633261,73.835622,Chargesheeted,High,IO0121,SYNTH_FIELD_REPORT,Synthetic cheating by personation / cyber fraud case recorded for the Bhosari area. Severity classification: High.
C001111,PUNE/FIR/2021/01111,FIR,Robbery,Robbery,IPC 392,2020-02-07,2020-01-27,18:20:00,PS_BANER,Pune,Pune,Maharashtra,18.556758,73.775847,Registered,Critical,IO0297,SYNTH_COURT_LINK,Synthetic robbery case recorded for the Baner area. Severity classification: Critical.
C001112,PUNE/FIR/2023/01112,FIR,Threat,Criminal intimidation,IPC 506,2023-08-13,2023-08-12,11:34:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.498737,73.919292,Chargesheeted,Medium,IO0044,SYNTH_COURT_LINK,Synthetic criminal intimidation case recorded for the Hadapsar area. Severity classification: Medium.
C001113,PUNE/FIR/2024/01113,Complaint,Theft,Theft of property,IPC 379,2018-07-13,2018-06-29,09:29:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.49108,73.852071,Unsolved,High,IO0192,SYNTH_LEGACY_DB,Synthetic theft of property case recorded for the Swargate area. Severity classification: High.
C001114,PUNE/FIR/2023/01114,FIR,Forgery,Forgery,IPC 465,2021-03-03,2021-02-22,02:04:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.639343,73.791042,Solved,Medium,IO0153,SYNTH_FIR_DB,Synthetic forgery case recorded for the Chinchwad area. Severity classification: Medium.
C001115,PUNE/FIR/2024/01115,FIR,Burglary,House-breaking / house-trespass,IPC 454,2019-07-27,2019-07-25,21:33:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.622665,73.799422,Registered,High,IO0157,SYNTH_CASE_DB,Synthetic house-breaking / house-trespass case recorded for the Chinchwad area. Severity classification: High.
C001116,PUNE/FIR/2022/01116,FIR,Robbery,Robbery,IPC 392,2020-07-03,2020-06-28,09:17:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.502088,73.812103,Solved,High,IO0280,SYNTH_FIR_DB,Synthetic robbery case recorded for the Kothrud area. Severity classification: High.
C001117,PUNE/FIR/2018/01117,FIR,Theft,Theft of property,IPC 379,2022-02-13,2022-02-03,17:36:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.624053,73.799932,Registered,Medium,IO0033,SYNTH_FIELD_REPORT,Synthetic theft of property case recorded for the Chinchwad area. Severity classification: Medium.
C001118,PUNE/FIR/2023/01118,Complaint,Property,Mischief causing damage,IPC 427,2024-02-09,2024-01-26,07:40:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.538871,73.868773,Under Investigation,Medium,IO0327,SYNTH_CASE_DB,Synthetic mischief causing damage case recorded for the Yerawada area. Severity classification: Medium.
C001119,PUNE/FIR/2018/01119,FIR,Robbery,Robbery,IPC 392,2019-08-05,2019-08-03,10:06:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.628214,73.799588,Chargesheeted,High,IO0112,SYNTH_CASE_DB,Synthetic robbery case recorded for the Pimpri area. Severity classification: High.
C001120,PUNE/FIR/2022/01120,FIR,Forgery,Using forged document,IPC 471,2021-10-09,2021-10-08,07:24:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.499319,73.930205,Pending,High,IO0155,SYNTH_FIR_DB,Synthetic using forged document case recorded for the Hadapsar area. Severity classification: High.
C001121,PUNE/FIR/2019/01121,Complaint,Threat,Criminal intimidation,IPC 506,2018-11-25,2018-11-25,22:17:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.514357,73.915498,Pending,Medium,IO0160,SYNTH_INTEL_DB,Synthetic criminal intimidation case recorded for the Hadapsar area. Severity classification: Medium.
C001122,PUNE/FIR/2020/01122,FIR,Theft,Theft of property,IPC 379,2022-11-14,2022-11-09,14:04:00,PS_WAKAD,Pune,Pune,Maharashtra,18.587376,73.770402,Closed,Medium,IO0187,SYNTH_CASE_DB,Synthetic theft of property case recorded for the Wakad area. Severity classification: Medium.
C001123,PUNE/FIR/2018/01123,FIR,Theft,Theft of property,IPC 379,2019-03-02,2019-02-16,06:43:00,PS_AUNDH,Pune,Pune,Maharashtra,18.569477,73.806923,Under Investigation,High,IO0269,SYNTH_FIR_DB,Synthetic theft of property case recorded for the Aundh area. Severity classification: High.
C001124,PUNE/FIR/2022/01124,FIR,Theft,Theft of property,IPC 379,2023-04-29,2023-04-18,17:37:00,PS_BANER,Pune,Pune,Maharashtra,18.568991,73.781136,Under Investigation,High,IO0103,SYNTH_FIR_DB,Synthetic theft of property case recorded for the Baner area. Severity classification: High.
C001125,PUNE/FIR/2020/01125,FIR,Fraud,Cheating,IPC 420,2018-08-27,2018-08-22,11:10:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.620765,73.804199,Under Investigation,High,IO0025,SYNTH_FIELD_REPORT,Synthetic cheating case recorded for the Chinchwad area. Severity classification: High.
C001126,PUNE/FIR/2021/01126,FIR,Theft,Theft of property,IPC 379,2022-03-30,2022-03-29,16:17:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.501063,73.92971,Under Investigation,High,IO0118,SYNTH_CASE_DB,Synthetic theft of property case recorded for the Hadapsar area. Severity classification: High.
C001127,PUNE/FIR/2023/01127,Special Report,Public Order,Rioting,IPC 147,2023-08-27,2023-08-23,22:13:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.512389,73.92017,Closed,Critical,IO0219,SYNTH_CASE_DB,Synthetic rioting case recorded for the Hadapsar area. Severity classification: Critical.
C001128,PUNE/FIR/2024/01128,FIR,Forgery,Forgery,IPC 465,2019-12-30,2019-12-26,06:44:00,PS_SHIVAJINAGAR,Pune,Pune,Maharashtra,18.534902,73.840842,Registered,Medium,IO0048,SYNTH_CASE_DB,Synthetic forgery case recorded for the Shivajinagar area. Severity classification: Medium.
C001129,PUNE/FIR/2020/01129,FIR,Assault,Voluntarily causing hurt,IPC 323,2023-01-11,2022-12-31,15:37:00,PS_BANER,Pune,Pune,Maharashtra,18.547625,73.775422,Closed,High,IO0117,SYNTH_COURT_LINK,Synthetic voluntarily causing hurt case recorded for the Baner area. Severity classification: High.
C001130,PUNE/FIR/2024/01130,FIR,Burglary,House-breaking / house-trespass,IPC 454,2019-09-26,2019-09-21,18:39:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.508133,73.914134,Under Investigation,High,IO0013,SYNTH_COURT_LINK,Synthetic house-breaking / house-trespass case recorded for the Hadapsar area. Severity classification: High.
C001131,PUNE/FIR/2019/01131,Preliminary Inquiry,Threat,Criminal intimidation,IPC 506,2018-06-21,2018-06-15,11:44:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.50835,73.800293,Chargesheeted,Medium,IO0185,SYNTH_CASE_DB,Synthetic criminal intimidation case recorded for the Kothrud area. Severity classification: Medium.
C001132,PUNE/FIR/2023/01132,FIR,Theft,Theft of property,IPC 379,2019-04-28,2019-04-20,15:11:00,PS_SHIVAJINAGAR,Pune,Pune,Maharashtra,18.520972,73.858127,Chargesheeted,Medium,IO0264,SYNTH_LEGACY_DB,Synthetic theft of property case recorded for the Shivajinagar area. Severity classification: Medium.
C001133,PUNE/FIR/2024/01133,Other,Public Order,Rioting,IPC 147,2024-02-01,2024-01-18,22:37:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.64013,73.792143,Under Investigation,High,IO0194,SYNTH_CASE_DB,Synthetic rioting case recorded for the Pimpri area. Severity classification: High.
C001134,PUNE/FIR/2022/01134,Special Report,Sexual Offence,Sexual harassment,IPC 354A,2023-03-27,2023-03-13,23:43:00,PS_DHANKAWADI,Pune,Pune,Maharashtra,18.478512,73.840874,Closed,High,IO0060,SYNTH_LEGACY_DB,Synthetic sexual harassment case recorded for the Dhankawadi area. Severity classification: High.
C001135,PUNE/FIR/2024/01135,FIR,Property,Mischief causing damage,IPC 427,2022-11-01,2022-10-29,15:00:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.51029,73.805834,Pending,Medium,IO0331,SYNTH_FIELD_REPORT,Synthetic mischief causing damage case recorded for the Kothrud area. Severity classification: Medium.
C001136,PUNE/FIR/2019/01136,FIR,Assault,Grievous hurt,IPC 325,2020-11-06,2020-11-06,19:11:00,PS_BHOSARI,Pune,Pune,Maharashtra,18.635169,73.842245,Registered,Critical,IO0022,SYNTH_FIR_DB,Synthetic grievous hurt case recorded for the Bhosari area. Severity classification: Critical.
C001137,PUNE/FIR/2019/01137,FIR,Fraud,Criminal breach of trust,IPC 406,2024-02-15,2024-02-06,21:59:00,PS_BANER,Pune,Pune,Maharashtra,18.560352,73.789538,Under Investigation,Medium,IO0090,SYNTH_FIR_DB,Synthetic criminal breach of trust case recorded for the Baner area. Severity classification: Medium.
C001138,PUNE/FIR/2019/01138,Preliminary Inquiry,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2020-08-08,2020-07-25,20:22:00,PS_KONDHWA,Pune,Pune,Maharashtra,18.464572,73.893806,Pending,Critical,IO0271,SYNTH_INTEL_DB,Synthetic cheating by personation / cyber fraud case recorded for the Kondhwa area. Severity classification: Critical.
C001139,PUNE/FIR/2023/01139,Complaint,Theft,Theft of property,IPC 379,2021-08-10,2021-07-27,11:36:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.620877,73.791858,Pending,Medium,IO0336,SYNTH_FIR_DB,Synthetic theft of property case recorded for the Chinchwad area. Severity classification: Medium.
C001140,PUNE/FIR/2018/01140,Other,Robbery,Robbery,IPC 392,2018-03-24,2018-03-12,19:49:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.633564,73.808627,Solved,Critical,IO0038,SYNTH_CASE_DB,Synthetic robbery case recorded for the Pimpri area. Severity classification: Critical.
C001141,PUNE/FIR/2022/01141,Special Report,Fraud,Criminal breach of trust,IPC 406,2019-12-14,2019-12-06,06:10:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.498857,73.923089,Under Investigation,Medium,IO0339,SYNTH_FIR_DB,Synthetic criminal breach of trust case recorded for the Hadapsar area. Severity classification: Medium.
C001142,PUNE/FIR/2022/01142,Other,Burglary,House-breaking / house-trespass,IPC 454,2021-11-01,2021-11-01,05:50:00,PS_AUNDH,Pune,Pune,Maharashtra,18.56836,73.797352,Chargesheeted,Critical,IO0271,SYNTH_COURT_LINK,Synthetic house-breaking / house-trespass case recorded for the Aundh area. Severity classification: Critical.
C001143,PUNE/FIR/2023/01143,Complaint,Assault,Voluntarily causing hurt,IPC 323,2021-03-10,2021-03-05,22:03:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.543297,73.883106,Registered,Medium,IO0222,SYNTH_COURT_LINK,Synthetic voluntarily causing hurt case recorded for the Yerawada area. Severity classification: Medium.
C001144,PUNE/FIR/2018/01144,FIR,Assault,Voluntarily causing hurt,IPC 323,2021-08-21,2021-08-07,09:45:00,PS_BANER,Pune,Pune,Maharashtra,18.559673,73.783539,Registered,Medium,IO0171,SYNTH_CASE_DB,Synthetic voluntarily causing hurt case recorded for the Baner area. Severity classification: Medium.
C001145,PUNE/FIR/2020/01145,FIR,Property,Mischief causing damage,IPC 427,2023-01-06,2023-01-06,09:07:00,PS_WAKAD,Pune,Pune,Maharashtra,18.588669,73.762916,Unsolved,High,IO0256,SYNTH_FIR_DB,Synthetic mischief causing damage case recorded for the Wakad area. Severity classification: High.
C001146,PUNE/FIR/2019/01146,FIR,Fraud,Criminal breach of trust,IPC 406,2023-01-29,2023-01-22,10:30:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.63962,73.791168,Registered,Medium,IO0060,SYNTH_LEGACY_DB,Synthetic criminal breach of trust case recorded for the Chinchwad area. Severity classification: Medium.
C001147,PUNE/FIR/2023/01147,Complaint,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2023-10-07,2023-10-02,22:38:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.505126,73.801054,Pending,High,IO0306,SYNTH_COURT_LINK,Synthetic cheating by personation / cyber fraud case recorded for the Kothrud area. Severity classification: High.
C001148,PUNE/FIR/2024/01148,FIR,Theft,Theft of property,IPC 379,2021-06-15,2021-06-09,23:54:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.637858,73.79304,Closed,High,IO0295,SYNTH_FIR_DB,Synthetic theft of property case recorded for the Chinchwad area. Severity classification: High.
C001149,PUNE/FIR/2024/01149,FIR,Fraud,Criminal breach of trust,IPC 406,2019-03-23,2019-03-09,19:26:00,PS_AUNDH,Pune,Pune,Maharashtra,18.555237,73.796444,Chargesheeted,Medium,IO0156,SYNTH_FIELD_REPORT,Synthetic criminal breach of trust case recorded for the Aundh area. Severity classification: Medium.
C001150,PUNE/FIR/2021/01150,Complaint,Fraud,Cheating,IPC 420,2023-08-22,2023-08-16,16:47:00,PS_VISHRANTWADI,Pune,Pune,Maharashtra,18.557012,73.889779,Solved,High,IO0128,SYNTH_FIR_DB,Synthetic cheating case recorded for the Vishrantwadi area. Severity classification: High.
C001151,PUNE/FIR/2019/01151,Complaint,Theft,Theft of property,IPC 379,2023-07-29,2023-07-29,17:22:00,PS_AUNDH,Pune,Pune,Maharashtra,18.568649,73.816687,Closed,High,IO0228,SYNTH_FIR_DB,Synthetic theft of property case recorded for the Aundh area. Severity classification: High.
C001152,PUNE/FIR/2023/01152,FIR,Narcotics,Possession-related offence,IPC 272/273,2019-04-30,2019-04-28,18:24:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.505325,73.931222,Pending,High,IO0192,SYNTH_CASE_DB,Synthetic possession-related offence case recorded for the Hadapsar area. Severity classification: High.
C001153,PUNE/FIR/2021/01153,FIR,Sexual Offence,Sexual harassment,IPC 354A,2020-01-11,2020-01-10,02:37:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.504466,73.857707,Solved,Critical,IO0203,SYNTH_CASE_DB,Synthetic sexual harassment case recorded for the Swargate area. Severity classification: Critical.
C001154,PUNE/FIR/2020/01154,Preliminary Inquiry,Robbery,Robbery,IPC 392,2024-04-04,2024-04-01,15:31:00,PS_VISHRANTWADI,Pune,Pune,Maharashtra,18.576861,73.887012,Chargesheeted,High,IO0130,SYNTH_CASE_DB,Synthetic robbery case recorded for the Vishrantwadi area. Severity classification: High.
C001155,PUNE/FIR/2024/01155,FIR,Assault,Grievous hurt,IPC 325,2018-02-02,2018-01-24,17:09:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.498023,73.915439,Closed,High,IO0310,SYNTH_FIR_DB,Synthetic grievous hurt case recorded for the Hadapsar area. Severity classification: High.
C001156,PUNE/FIR/2019/01156,FIR,Threat,Criminal intimidation,IPC 506,2023-11-23,2023-11-21,03:21:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.513592,73.926457,Closed,Medium,IO0276,SYNTH_CASE_DB,Synthetic criminal intimidation case recorded for the Hadapsar area. Severity classification: Medium.
C001157,PUNE/FIR/2020/01157,FIR,Assault,Grievous hurt,IPC 325,2023-11-16,2023-11-14,04:44:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.517827,73.819572,Under Investigation,High,IO0034,SYNTH_FIELD_REPORT,Synthetic grievous hurt case recorded for the Kothrud area. Severity classification: High.
C001158,PUNE/FIR/2022/01158,FIR,Public Order,Rioting,IPC 147,2019-09-02,2019-08-29,18:16:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.617902,73.798815,Registered,High,IO0026,SYNTH_FIR_DB,Synthetic rioting case recorded for the Chinchwad area. Severity classification: High.
C001159,PUNE/FIR/2022/01159,FIR,Narcotics,Possession-related offence,IPC 272/273,2018-12-11,2018-12-09,07:21:00,PS_VISHRANTWADI,Pune,Pune,Maharashtra,18.573784,73.883442,Closed,Critical,IO0061,SYNTH_CASE_DB,Synthetic possession-related offence case recorded for the Vishrantwadi area. Severity classification: Critical.
C001160,PUNE/FIR/2022/01160,FIR,Narcotics,Possession-related offence,IPC 272/273,2024-05-17,2024-05-12,22:27:00,PS_KONDHWA,Pune,Pune,Maharashtra,18.457574,73.895233,Pending,High,IO0066,SYNTH_FIR_DB,Synthetic possession-related offence case recorded for the Kondhwa area. Severity classification: High.
C001161,PUNE/FIR/2019/01161,FIR,Narcotics,Possession-related offence,IPC 272/273,2023-04-13,2023-04-12,13:53:00,PS_DHANKAWADI,Pune,Pune,Maharashtra,18.466646,73.852393,Under Investigation,High,IO0104,SYNTH_COURT_LINK,Synthetic possession-related offence case recorded for the Dhankawadi area. Severity classification: High.
C001162,PUNE/FIR/2022/01162,FIR,Fraud,Criminal breach of trust,IPC 406,2024-01-09,2023-12-31,21:00:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.634972,73.793227,Under Investigation,Medium,IO0132,SYNTH_CASE_DB,Synthetic criminal breach of trust case recorded for the Chinchwad area. Severity classification: Medium.
C001163,PUNE/FIR/2021/01163,FIR,Assault,Voluntarily causing hurt,IPC 323,2023-01-09,2022-12-27,15:18:00,PS_WAKAD,Pune,Pune,Maharashtra,18.591611,73.760412,Under Investigation,High,IO0086,SYNTH_FIELD_REPORT,Synthetic voluntarily causing hurt case recorded for the Wakad area. Severity classification: High.
C001164,PUNE/FIR/2019/01164,Complaint,Assault,Voluntarily causing hurt,IPC 323,2019-05-10,2019-05-01,20:36:00,PS_WAKAD,Pune,Pune,Maharashtra,18.594589,73.75589,Under Investigation,High,IO0078,SYNTH_COURT_LINK,Synthetic voluntarily causing hurt case recorded for the Wakad area. Severity classification: High.
C001165,PUNE/FIR/2018/01165,Complaint,Robbery,Robbery,IPC 392,2024-03-23,2024-03-23,11:14:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.512265,73.802627,Solved,High,IO0245,SYNTH_COURT_LINK,Synthetic robbery case recorded for the Kothrud area. Severity classification: High.
C001166,PUNE/FIR/2018/01166,Other,Burglary,House-breaking / house-trespass,IPC 454,2024-04-01,2024-03-21,17:54:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.633628,73.8094,Pending,Critical,IO0248,SYNTH_FIR_DB,Synthetic house-breaking / house-trespass case recorded for the Pimpri area. Severity classification: Critical.
C001167,PUNE/FIR/2020/01167,Other,Theft,Theft of property,IPC 379,2019-08-27,2019-08-25,15:24:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.501598,73.861892,Registered,Medium,IO0022,SYNTH_FIELD_REPORT,Synthetic theft of property case recorded for the Swargate area. Severity classification: Medium.
C001168,PUNE/FIR/2018/01168,FIR,Threat,Criminal intimidation,IPC 506,2020-03-10,2020-03-04,21:08:00,PS_BANER,Pune,Pune,Maharashtra,18.563437,73.790867,Pending,Medium,IO0346,SYNTH_FIR_DB,Synthetic criminal intimidation case recorded for the Baner area. Severity classification: Medium.
C001169,PUNE/FIR/2019/01169,Complaint,Robbery,Robbery,IPC 392,2024-05-23,2024-05-16,13:25:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.497408,73.818195,Pending,High,IO0031,SYNTH_CASE_DB,Synthetic robbery case recorded for the Kothrud area. Severity classification: High.
